,Category,Name,Rating,Number of reviews,5 stars,4 stars,3 stars,2 stars,1 star
108,Magasin de vêtements professionnels,Welkit,"4,7",2533,85,10,2,<1,2
109,Fabricant de vêtements de sport,OXBOW,"4,7",2377,85,10,2,1,2
110,Bijouterie,Zeina Alliances,"4,7",1732,80,12,3,2,3
111,Fournisseur de lentilles de contact,Alensa.fr,"4,7",1628,85,9,2,1,3
112,Bijouterie,VotrePiercing.com,"4,7",1362,78,15,4,2,1
113,Boutique d'accessoires de mode,Inoui Editions,"4,7",1329,83,10,3,2,2
114,Bijouterie,Who We Are bijoux,"4,7",1178,87,9,2,1,1
115,Bijouterie,OH MY SHOP,"4,7",1118,86,8,2,<1,3
116,Horlogerie,Watchfinder,"4,7",976,85,9,2,1,3
117,Horlogerie,Charlie Paris,"4,7",777,84,11,2,1,2
118,Magasin de chaussures,Cirages & compagnie,"4,7",776,82,10,3,2,3
119,Shopping & mode,Le Monde De La Marionnette,"4,7",751,87,8,2,<1,2
120,Magasin de pêche et de chasse,Hourvari,"4,7",699,81,11,3,2,3
121,Bijouterie,Diamonds Factory,"4,7",691,83,10,3,1,3
122,Magasin d'articles de sports,Yogom,"4,7",679,84,11,4,<1,1
123,Bijouterie,58 Facettes,"4,7",530,87,7,3,<1,2
124,Bijouterie fantaisie,Ginandger Bijoux,"4,7",505,90,5,2,<1,2
125,Bijouterie,Boutique de Lily,"4,7",454,89,8,1,0,2
126,Boutique d'accessoires de mode,Le Vent à la Française,"4,7",450,87,7,2,1,3
127,Boutique de santé et beauté,My Bambou,"4,7",424,83,12,2,1,2
128,Magasin de vêtements,Creveclothing,"4,7",407,90,6,<1,1,2
129,Bijouterie,bijouxoccasions.com / CBBO,"4,7",374,85,8,2,<1,5
130,Bijouterie,i-BEADS UK,"4,7",348,85,7,2,2,4
131,Grossiste en vêtements,Main Gauche,"4,7",344,92,6,<1,<1,<1
132,Magasin de vêtements pour femmes,tajinebanane.fr,"4,7",321,85,9,3,1,2
133,Bijouterie fantaisie,Belle Miss e-shop,"4,7",310,81,12,4,2,<1
134,Magasin de chaussures,Sneakeaze Customs SKZ,"4,7",286,87,6,2,1,4
135,Magasin de vêtements de sport,Marmon Sports,"4,7",273,88,8,<1,1,3
136,Boutique d'accessoires de mode,Maison de l'éventail,"4,7",248,79,11,4,2,4
137,Magasin de sous-vêtements,Dilling,"4,7",210,85,9,2,<1,3
138,Artisanat,Tienda Esquipulas,"4,7",207,95,2,1,<1,1
139,Boutique de sacs à main,Ateliers Auguste,"4,7",193,91,4,3,0,2
140,Atelier de sérigraphie,La Petite Imprimerie,"4,7",186,85,12,1,1,1
141,Magasin de sacs et de valises,Dot-Drops,"4,7",178,80,18,1,0,<1
142,Bijouterie,Rue Paradis Bijoux,"4,7",163,83,12,2,2,1
143,Magasin de sacs,Lorensac,"4,7",140,86,11,2,0,<1
144,Boutique d'articles de mode,OMAJ,"4,7",124,87,7,2,3,<1
145,Magasin de vêtements,Monpremierhijab,"4,7",123,91,3,2,2,2
146,Bijouterie,Edeniajewelry,"4,7",121,93,2,<1,2,2
147,Boutique de ceintures,La Boutique de la Ceinture,"4,7",116,90,3,2,2,3
148,Horlogerie,SYE [Start Your Engine],"4,7",100,90,8,1,0,1
149,Magasin de sacs et bagages,Nalaia,"4,7",98,85,7,6,1,1
150,Magasin de vêtements pour femmes,Hanasan,"4,7",98,90,3,4,2,1
151,Tailleur pour hommes,Tailor Store,"4,7",97,86,6,1,2,5
152,Magasin de sous-vêtements,Chaussettes De Santé,"4,7",93,88,8,3,0,1
153,Magasin de vêtements,Cars and me,"4,7",80,87,9,0,0,4
154,Vendeur de bijoux en gros,Azzanobijoux,"4,7",76,92,8,0,0,0
155,Magasin de chaussures,Trottino,"4,7",75,88,7,4,1,0
156,Bijouterie,Ana & Cha Paris,"4,7",73,83,11,3,3,0
157,Parfumerie,Benlux,"4,7",73,90,7,1,1,1
158,Magasin de vêtements,Cotton Park,"4,7",71,88,9,1,1,1
159,Atelier de couture,Bleumanon,"4,7",68,88,7,3,0,2
160,Bijouterie,mineraux-pierres.com,"4,7",66,85,14,0,1,0
161,Magasin de t-shirts,Maison hach.,"4,7",62,98,0,2,0,0
162,Boutique d'accessoires de mode,Flotte,"4,7",60,91,2,3,2,2
163,Magasin de vêtements,Marietteetpaulette,"4,7",55,94,4,0,2,0
164,Magasin d'articles de sports,WODANDGO,"4,7",55,92,4,0,4,0
165,Bijouterie fantaisie,Exotika shop,"4,7",54,89,5,6,0,0
166,Fabricant de montres,MaisonDuTemps,"4,7",53,89,7,4,0,0
167,Boutique d'accessoires de mode,BabyBamboo,"4,7",47,98,2,0,0,0
168,Boutique d'accessoires de mode,MYZAH,"4,7",44,91,9,0,0,0
169,Magasin de vêtements pour femmes,Dressing en folie,"4,7",43,98,2,0,0,0
170,Service de rachat de bijoux,Artetor Bordeaux,"4,7",34,97,0,3,0,0
171,Magasin de chaussures,MEEKO,"4,7",32,100,0,0,0,0
172,Magasin de puériculture,Joli Berceau,"4,7",31,100,0,0,0,0
173,Boutique d'accessoires de mode,Swimi,"4,7",31,97,3,0,0,0
174,Boutique de santé et beauté,Solki,"4,7",29,97,3,0,0,0
175,Bijouterie,Maison Mohs,"4,7",29,100,0,0,0,0
176,Magasin de jouets pour enfants,Chouchous,"4,7",29,97,0,0,0,3
177,Fabricant de bijoux,OrPhée Bijoux,"4,7",26,100,0,0,0,0
178,Service de remise en espèces,iGraal,"4,6",22365,76,14,3,2,5
179,Magasin de vêtements de sport (activewear),Destock Sport et Mode,"4,6",16322,80,11,3,2,4
180,Magasin de chaussures,Wethenew,"4,6",12973,82,10,3,1,4
181,Magasin de sacs et bagages,Lancaster,"4,6",11984,83,10,3,1,3
182,Magasin de vêtements de sport (activewear),Rip Curl Europe,"4,6",8962,87,5,2,1,5
183,Magasin de chaussures,Bobbies,"4,6",7302,80,8,4,3,5
184,Magasin de lunettes de soleil,edel-optics.fr,"4,6",5421,79,10,3,2,6
185,Shopping & mode,Beebs,NA,NA,84,7,3,1,5
186,Mercerie métallique et plastique,Etiquetas Soyde,"4,6",4769,80,13,3,2,2
187,Bijouterie,L'Atelier d'Amaya,"4,6",3501,82,9,4,2,3
188,Service e-commerce,Clic and Fit,"4,6",2589,66,29,3,<1,<1
189,Bijouterie,Edenly,"4,6",2442,79,12,2,<1,6
190,Magasin de vêtements,Cocorico,"4,6",2221,77,11,5,3,4
191,Boutique de lingerie,Smoon lingerie,"4,6",1868,75,13,5,3,4
192,Magasin d'équipement et d'accessoires pour motos,Maciag Offroad,"4,6",1752,82,10,2,1,5
193,Magasin de skateboards,Globe Brand EU,"4,6",1744,84,6,2,2,6
194,Bijouterie,i-PERLES,"4,6",1645,83,12,2,<1,2
195,Magasin de vêtements pour femmes,Bollywood Fashion Online,"4,6",1614,75,17,5,1,2
196,Boutique d'accessoires de mode,WannAccess,"4,6",1577,89,6,2,<1,2
197,Magasin de chaussures,Sparco Fashion FR,"4,6",1223,81,10,3,2,4
198,Magasin de chaussures,Vanessa Wu,"4,6",1138,84,6,2,2,6
199,Boutique de sacs à main,Léo et Violette,"4,6",1020,84,8,5,2,<1
200,Magasin de streetwear,DM'Sports,"4,6",845,84,8,2,<1,5
201,Boutique de cadeaux,Gaspard + Zoé,"4,6",597,72,16,6,3,3
202,Horlogerie,KRONOS 360,"4,6",498,83,11,2,2,2
203,Magasin de chaussures,Bernie Mev,"4,6",483,82,11,3,1,3
204,Magasin de vêtements,MA CHIC BOUTIQUE,"4,6",480,83,8,4,2,3
205,Bijouterie,Ursul Paris,"4,6",457,86,8,3,1,2
206,Bijoutier,Juwelo,"4,6",406,83,11,3,1,2
