,Category,Name,Rating,Number of reviews,5 stars,4 stars,3 stars,2 stars,1 star
1035,Magasin de café,Nespresso France,"1,5",962,8,2,2,5,83
1036,Supermarché,Intermarche,"1,5",948,5,4,4,8,79
1037,Magasin de cigarettes électroniques,CIGAMANIA,"1,5",105,47,5,3,9,36
1038,"Aliments, boissons & tabac",Myecocafe,"1,5",34,0,3,3,0,94
1039,"Aliments, boissons & tabac",Kinder,"1,4",93,14,6,1,1,78
1040,"Aliments, boissons & tabac",Prostabium,"1,4",76,19,25,13,17,26
1041,Centre de bien-être,Mycelia smartshop france,"1,4",38,21,0,0,0,79
1042,Supermarché,E Leclerc,"1,2",1985,3,2,2,6,87
1043,Boulangerie,Marmiton.org,"1,1",371,39,13,4,2,42
1044,Boulangerie,Lejourseleve Pessac,NA,0,0,0,0,0,0
1045,Magasin de cannabis,Lambassadeducbd,NA,0,0,0,0,0,0
1046,Restaurant,Bugizz,NA,0,0,0,0,0,0
1047,Boutique de café,Coffeewall,NA,0,0,0,0,0,0
1048,"Aliments, boissons & tabac",Revold,NA,0,0,0,0,0,0
1049,Magasin bio,Le Colibri,NA,0,0,0,0,0,0
1050,Pâtisserie,Honoré,NA,0,0,0,0,0,0
1051,Vente de fruits et légumes en gros,Maison Callico,NA,0,0,0,0,0,0
1052,Salon de thé,Creativ The,NA,0,0,0,0,0,0
1053,Grossiste en vins,Domaine De-rosiers,NA,0,0,0,0,0,0
1054,"Aliments, boissons & tabac",Legrandthe,NA,0,0,0,0,0,0
1055,Boucherie-charcuterie,Laviandecasher,NA,0,0,0,0,0,0
1056,Épicerie fine,Upside Lab,NA,0,0,0,0,0,0
1057,Production agricole,Plant Innovation R&D,NA,0,0,0,0,0,0
1058,Magasin bio,S.A CBD,NA,0,0,0,0,0,0
1059,Magasin bio,La box à semer,NA,0,0,0,0,0,0
1060,Boulangerie,Lgbp,NA,0,0,0,0,0,0
1061,Magasin de cannabis,CANNAFUSION CBD THUIR,NA,0,0,0,0,0,0
1062,Cave à vins,Au Saint Amour Murois,NA,0,0,0,0,0,0
1063,Marchand de légumes,Primeurs de la Palud,NA,0,0,0,0,0,0
1064,Entreprise de transformation alimentaire,Clem,NA,0,0,0,0,0,0
1065,Magasin de cigarettes électroniques,X-BAR,NA,0,0,0,0,0,0
1066,Agriculteur,Foglieditabacco,NA,0,0,0,0,0,0
1067,Transformation des fruits et légumes,Agonde,NA,0,0,0,0,0,0
1068,Cave à vins,Odyswines,NA,0,0,0,0,0,0
1069,Exploitation viticole,Masdunovi,NA,0,0,0,0,0,0
1070,Épicerie fine,Theworldgrocery,NA,0,0,0,0,0,0
1071,Service de livraison des courses,Flincy,NA,0,0,0,0,0,0
1072,Supermarché discount,RefurbStuff,NA,0,0,0,0,0,0
1073,Épicerie,Bonsigne,NA,0,0,0,0,0,0
1074,Site historique,Domaine Saint-Antonin,NA,0,0,0,0,0,0
1075,Fabricant de produits alimentaires,Essentialdietetics,NA,0,0,0,0,0,0
1076,Société de transport international de marchandises,2htransports.com,NA,0,0,0,0,0,0
1077,"Aliments, boissons & tabac",Lieu des Délices,NA,0,0,0,0,0,0
1078,Producteur de produits alimentaires,Fleur2sel,NA,0,0,0,0,0,0
1079,"Aliments, boissons & tabac",SoDivin,NA,0,0,0,0,0,0
1080,Brasserie,MisterGoodBeer,NA,0,0,0,0,0,0
1081,Caviste,Wine Ologue,NA,0,0,0,0,0,0
1082,Magasin de vins et spiritueux,V2vin,NA,0,0,0,0,0,0
1083,Miellerie,Rucherdescanon,NA,0,0,0,0,0,0
1084,Artisan chocolatier,PAND'OR CREATION,NA,0,0,0,0,0,0
1085,Boutique de boissons non alcoolisées,16h24,NA,0,0,0,0,0,0
1086,Magasin de cannabis,Labonnelocale,NA,0,0,0,0,0,0
1087,"Aliments, boissons & tabac",Thedifferenttraveler,NA,0,0,0,0,0,0
1088,Magasin de cannabis,Cbdlemaraicher,NA,0,0,0,0,0,0
1089,Confiserie,Planetbonbons,NA,0,0,0,0,0,0
1090,Épicerie,Mi Hewti,NA,0,0,0,0,0,0
1091,Marchand de thé,Thé Paon,NA,0,0,0,0,0,0
1092,Pâtissier spécialisé dans les gâteaux de mariage,Jessie s,NA,0,0,0,0,0,0
1093,Fournisseur de produits alimentaires,Sisterre,NA,0,0,0,0,0,0
1094,Magasin de bonbons,BONBEC SHOW,NA,0,0,0,0,0,0
1095,Fabricant d'huile d'olive,DUSUD,NA,0,0,0,0,0,0
1096,Artisanat,lesgourmandsdouest.fr,NA,0,0,0,0,0,0
1097,Magasin bio,Le Colibri,NA,0,0,0,0,0,0
1098,Pâtisserie,Honoré,NA,0,0,0,0,0,0
1099,Poissonnerie,Daguerre Marée,NA,0,0,0,0,0,0
1100,Boulangerie,Lejourseleve Pessac,NA,0,0,0,0,0,0
1101,"Aliments, boissons & tabac",Cafemoulu.fr,NA,0,0,0,0,0,0
