,Catégorie,Titre,Score,Avis,5 etoiles,4 etoiles,3 etoiles,2 etoiles,1 etoiles
109,Bijouterie fantaisie,Natural Mystic Shop,"4,8",282,83,13,3,0,1
110,Magasin pour enfants,Nos minis,"4,8",271,95,4,1,0,0
111,Magasin de vêtements pour enfants,La Malle aux Canailles,"4,8",270,95,4,<1,<1,0
112,Bijouterie fantaisie,huguetteparis.com,"4,8",239,92,6,<1,1,<1
113,Boutique d'objets religieux,"Magasin Soubirous - Lourdes, France","4,8",217,92,6,1,0,1
114,Magasin de vêtements pour femmes,Et Paris,"4,8",216,96,2,2,<1,0
115,Magasin de vêtements pour femmes,bottinsarl.com,"4,8",213,90,8,1,<1,<1
116,Boutique d'articles de mode,Dream Act,"4,8",212,89,7,2,<1,<1
117,Magasin de vêtements pour femmes,Paulinemode,"4,8",206,96,2,<1,<1,<1
118,Magasin de gros,Novela Global,"4,8",196,88,10,2,<1,<1
119,Boutique de sacs à main,Ateliers Auguste,"4,8",191,92,4,3,0,1
120,Shopping & mode,Customisation,"4,8",173,90,6,<1,1,2
121,Boutique d'accessoires de mode,monhijabpascher.com,"4,8",164,94,2,2,1,<1
122,Magasin de vêtements de sport,Matchycycling,"4,8",164,90,9,<1,0,0
123,Magasin de lunettes de soleil,L'ŒIL DE TOKYO,"4,8",161,95,5,0,0,0
124,Magasin de vêtements de sport,Rookie Republic,"4,8",147,93,5,0,2,0
125,Courtier d'assurances,Santexpat,"4,8",146,87,11,0,<1,<1
126,Magasin de chaussures,BEFORE DROP,"4,8",133,95,2,0,<1,2
127,Shopping & mode,Rozkaz Selling,"4,8",133,98,1,0,0,<1
128,Boutique d'accessoires de mode,facettes-paris.com,"4,8",128,93,4,<1,0,2
129,Boutique de lingerie,simplement-lingerie.fr,"4,8",126,94,5,<1,0,0
130,Bijouterie fantaisie,Agape Studio,"4,8",122,92,4,<1,2,<1
131,Bijouterie fantaisie,Meg Creation,"4,8",119,92,7,0,<1,0
132,Magasin de vélos,PASTEL Cycles,"4,8",114,92,4,3,<1,0
133,Magasin de vêtements pour enfants,Boutique Marquise de Laborde Paris,"4,8",107,99,0,0,0,<1
134,Bijouterie,EMMALEE Jewelry,"4,8",101,93,6,0,<1,0
135,Magasin de perruques,Mai's Secrets,"4,8",94,87,10,0,1,2
136,Horlogerie,Chrono-Shop Rolex Vintages Parts,"4,8",90,96,2,0,1,1
137,Magasin de pierres naturelles,Oodaj,"4,8",87,97,3,0,0,0
138,Boutique d'objets à collectionner,Les Soeurs Weasley,"4,8",86,95,4,1,0,0
139,Magasin de vêtements pour femmes,Narkis Fashion,"4,8",77,79,16,1,3,1
140,Horlogerie,Olymp Luxury,"4,8",77,98,1,1,0,0
141,Grossiste en vêtements,Vent d'Ouest Impression,"4,8",75,95,4,0,0,1
142,Magasin de vêtements,Kapitales,"4,8",69,93,4,3,0,0
143,Magasin de vêtements,Paradigme,"4,8",69,97,3,0,0,0
144,Boutique d'articles de mode,Joee,"4,8",65,100,0,0,0,0
145,Magasin de vêtements pour femmes,Amae,"4,8",57,98,2,0,0,0
146,Magasin d'articles de sports,Sportingoodz,"4,8",52,98,2,0,0,0
147,Horlogerie,Lespecialistevintage,"4,8",52,100,0,0,0,0
148,Magasin de pierres naturelles,Coralie Shop,"4,8",51,100,0,0,0,0
149,Magasin d'articles de football,Trincamp,"4,8",50,100,0,0,0,0
150,Boutique d'accessoires de mode,Elsa LB,"4,8",45,98,2,0,0,0
151,Magasin de vêtements pour enfants,www.ludilabel.fr,"4,7",51 012,84,11,2,1,2
152,Magasins d'appareils de fitness,Chin Mudra,"4,7",15 027,82,12,3,1,2
153,Magasin de vêtements pour femmes,Toonzshop,"4,7",14 342,82,12,3,1,2
154,Bijouterie,Atelierdefamille,"4,7",9 013,73,15,6,3,3
155,Magasin de vêtements pour enfants,Terre de marins,"4,7",8 559,80,15,3,1,1
156,Magasin de vêtements de sport (activewear),Glisse Proshop,"4,7",8 150,85,10,2,<1,2
157,Bijouterie,Petits Tresors,"4,7",5 799,75,14,6,3,2
158,Bijouterie fantaisie,Bohm Paris,"4,7",4 866,88,6,2,2,2
159,Shopping & mode,Lookiero France,"4,7",4 530,82,12,3,1,2
160,Fournisseur de lentilles de contact,Lentiamo.fr,"4,7",2 887,76,13,5,2,4
161,Magasin de surf,Wetsuit Outlet FR,"4,7",2 520,83,14,2,<1,<1
162,Magasin de vêtements professionnels,Welkit,"4,7",2 419,85,10,2,<1,2
163,Fabricant de vêtements de sport,OXBOW,"4,7",2 255,85,10,2,<1,2
164,Bijouterie,Zeina Alliances,"4,7",1 729,80,12,3,2,3
165,Magasin de vêtements,Horizons Lointains,"4,7",1 657,87,7,3,1,2
166,Bijouterie,i-PERLES,"4,7",1 636,83,12,2,<1,2
167,Fournisseur de lentilles de contact,Alensa.fr,"4,7",1 589,85,9,2,1,3
168,Bijouterie,VotrePiercing.com,"4,7",1 362,78,15,4,2,1
169,Boutique d'accessoires de mode,Inoui Editions,"4,7",1 274,83,10,3,2,2
170,Bijouterie,Gemmyo,"4,7",1 148,91,2,<1,<1,5
171,Horlogerie,Watchfinder,"4,7",958,84,9,2,2,3
172,Magasin de chaussures,Cirages & compagnie,"4,7",773,82,10,3,2,3
173,Horlogerie,Charlie Paris,"4,7",769,84,11,2,1,2
174,Shopping & mode,Le Monde De La Marionnette,"4,7",743,87,8,2,<1,2
175,Magasin de pêche et de chasse,Hourvari,"4,7",685,81,11,3,2,3
176,Magasin d'articles de sports,Yogom,"4,7",679,84,11,4,<1,1
177,Bijouterie fantaisie,Ginandger Bijoux,"4,7",505,90,5,2,<1,2
178,Bijouterie,58 Facettes,"4,7",492,88,7,3,<1,2
179,Bijouterie,Ursul Paris,"4,7",454,86,8,3,1,2
180,Shopping & mode,Outfittery,"4,7",448,74,23,3,0,0
181,Boutique d'accessoires de mode,Le Vent à la Française,"4,7",442,86,7,3,1,3
182,Magasin de t-shirts,Grafitee - T-shirts originaux et tendance,"4,7",414,85,10,2,1,2
183,Boutique de santé et beauté,My Bambou,"4,7",402,82,12,3,<1,2
184,Bijouterie,bijouxoccasions.com / CBBO,"4,7",370,85,8,2,<1,5
185,Bijouterie,i-BEADS UK,"4,7",347,85,7,2,2,4
186,Magasin de vêtements pour femmes,tajinebanane.fr,"4,7",318,85,9,3,1,2
187,Bijouterie fantaisie,Belle Miss e-shop,"4,7",307,81,12,4,2,<1
188,Magasin de chaussures,Sneakeaze Customs SKZ,"4,7",277,88,5,2,1,4
189,Magasin de chaussures,Bottespluie,"4,7",258,80,12,3,2,3
190,Magasin de vêtements de sport,Marmon Sports,"4,7",249,86,9,<1,1,4
191,Boutique d'accessoires de mode,Maison de l'éventail,"4,7",247,79,11,4,2,4
192,Magasin de sous-vêtements,Dilling,"4,7",208,86,9,2,<1,3
193,Artisanat,Tienda Esquipulas,"4,7",205,95,2,1,<1,1
194,Atelier de sérigraphie,La Petite Imprimerie,"4,7",180,85,12,<1,1,1
195,Magasin de sacs et de valises,Dot-Drops,"4,7",175,79,19,1,0,<1
196,Bijouterie,Rue Paradis Bijoux,"4,7",163,83,12,2,2,1
197,Boutique de loisirs créatifs,Franceparacord,"4,7",162,85,9,2,<1,3
198,Magasin de sacs,Lorensac,"4,7",140,86,11,2,0,<1
199,Magasin de vêtements,Monpremierhijab,"4,7",123,91,3,2,2,2
200,Bijouterie,Edeniajewelry,"4,7",121,93,2,<1,2,2
201,Boutique d'articles de mode,OMAJ,"4,7",119,86,8,2,3,<1
202,Horlogerie,SYE [Start Your Engine],"4,7",100,90,8,1,0,1
203,Magasin de vêtements pour femmes,Hanasan,"4,7",95,90,3,4,2,1
204,Siège social,HelloSafe Canada,"4,7",92,85,10,2,1,2
205,Tailleur pour hommes,Tailor Store,"4,7",92,86,5,1,2,6
206,Magasin de sous-vêtements,Chaussettes De Santé,"4,7",87,88,8,3,0,1
207,Boutique de ceintures,La Boutique de la Ceinture,"4,7",83,92,2,2,1,3
208,Bijouterie fantaisie,Preciousse,"4,7",82,85,10,4,1,0
209,Bijouterie fantaisie,Denaive Diffusion SARL,"4,7",77,95,4,0,0,1
210,Vendeur de bijoux en gros,Azzanobijoux,"4,7",74,92,8,0,0,0
211,Magasin de chaussures,Trottino,"4,7",72,88,7,4,1,0
212,Magasin de vêtements,Cotton Park,"4,7",69,89,7,1,1,2
213,Bijouterie,mineraux-pierres.com,"4,7",64,84,14,0,2,0
214,Magasin de t-shirts,Maison hach.,"4,7",62,98,0,2,0,0
215,Bijouterie fantaisie,bobijoo.fr,"4,7",62,90,5,0,2,3
216,Parfumerie,Benlux,"4,7",62,91,3,2,2,2
217,Magasin de vêtements,Marietteetpaulette,"4,7",55,94,4,0,2,0
218,Magasin d'articles de sports,WODANDGO,"4,7",54,92,4,0,4,0
