,Catégorie,Titre,Score,Avis,5 etoiles,4 etoiles,3 etoiles,2 etoiles,1 etoiles
1631,Magasin de chaussures,Bekvï,"3,9",7,72,14,0,0,14
1632,Boutique de lingerie,Beauté Secrète,"3,9",6,67,0,0,0,33
1633,Bijouterie fantaisie,Poopita,"3,9",6,66,17,0,17,0
1634,Shopping & mode,Tbs1978,"3,9",6,83,0,0,0,17
1635,Magasin de puériculture,So'Baby box,"3,9",4,75,25,0,0,0
1636,Bijouterie fantaisie,Frenxys,"3,9",4,75,25,0,0,0
1637,Magasin d'ameublement et de décoration,La Brocante de Clémence,"3,9",4,50,50,0,0,0
1638,Marché en ligne,Deal Plaza,"3,9",4,75,0,25,0,0
1639,Magasin de vêtements pour femmes,Styliz'Me,"3,9",4,75,25,0,0,0
1640,Magasin de vêtements pour femmes,Styliz'Me,"3,9",4,75,25,0,0,0
1641,Magasin de sex-toy,Monpetitplaisir,"3,9",4,75,25,0,0,0
1642,Magasin de vêtements pour femmes,Icilamode,"3,9",3,67,33,0,0,0
1643,Shopping & mode,InDaBlox,"3,9",3,67,33,0,0,0
1644,Grand magasin,Courrier de Noël,"3,9",3,67,33,0,0,0
1645,Shopping & mode,ByStrass,"3,9",3,67,0,0,0,33
1646,Service de coupons d'achat,Ikoupi,"3,9",3,67,33,0,0,0
1647,Boutique de lingerie,1001dessous,"3,9",3,33,0,0,0,67
1648,Bijouterie,Bijouxenfants,"3,9",3,67,33,0,0,0
1649,Magasin de sacs et bagages,Socomera,"3,9",3,67,33,0,0,0
1650,Magasin de vêtements pour femmes,Cendriyon.com,"3,8",9 261,69,21,6,2,2
1651,Magasin de vêtements pour femmes,FANTAZIA,"3,8",3 327,79,15,4,1,1
1652,Shopping & mode,CIGARELESS,"3,8",462,57,23,10,5,5
1653,Magasin de vêtements pour femmes,M'elle Boutique,"3,8",105,73,6,3,4,14
1654,Shopping & mode,France Barnums,"3,8",85,86,5,0,2,7
1655,Shopping & mode,Prixtoutcompris,"3,8",79,43,6,3,5,43
1656,Magasin de vêtements pour femmes,poppyfieldthelabel.com,"3,8",65,63,14,3,3,17
1657,Boutique d'accessoires de mode,Fitness Gaine,"3,8",62,53,8,8,7,24
1658,Boutique de mariage,Kenzacaftan,"3,8",30,84,3,0,0,13
1659,Magasin de sacs et bagages,La Troika,"3,8",30,70,13,0,7,10
1660,Shopping & mode,BIJOUX4MEN,"3,8",24,71,12,0,0,17
1661,Magasin de vêtements pour femmes,Mandy Shop,"3,8",22,95,0,0,0,5
1662,Service de coupons d'achat,Yeswedeal,"3,8",21,76,14,0,0,10
1663,Boutique d'accessoires de mode,Tattoostyleconcept,"3,8",19,63,10,0,16,11
1664,Magasin de chaussures,TOMS - toms.com/fr,"3,8",16,62,13,6,6,13
1665,Bijouterie,Constellation Paris,"3,8",15,80,13,0,0,7
1666,Magasin de vêtements de sport (activewear),Marielouise Paris,"3,8",15,60,13,7,0,20
1667,Bijouterie fantaisie,Daryajewelry,"3,8",14,72,7,0,7,14
1668,Friperie,Mosharks,"3,8",13,53,23,8,8,8
1669,Magasin de chaussures,Chaussures Desmazieres,"3,8",12,33,34,17,8,8
1670,Magasin de chaussures,PIERRE HARDY,"3,8",12,84,0,8,0,8
1671,Magasin de sacs et bagages,VICTOR BARROTI,"3,8",11,91,0,0,0,9
1672,Magasin de vêtements,je-suis-raoult,"3,8",10,60,20,0,10,10
1673,Shopping & mode,Eurotissus,"3,8",9,67,33,0,0,0
1674,Magasin de vêtements,MandMDirect.fr,"3,8",9,78,11,0,0,11
1675,Bijouterie,La Foire Aux Bijoux,"3,8",8,75,0,0,0,25
1676,Horlogerie,VALMANO,"3,8",8,37,25,0,25,13
1677,Magasin de sex-toy,Grenadilleshop,"3,8",8,87,0,0,0,13
1678,Bijouterie,The Emma&Chloé Box,"3,8",7,72,0,14,0,14
1679,Boutique d'accessoires de mode,FERAZINI,"3,8",6,83,0,0,0,17
1680,Magasin de streetwear,Salang Clothes,"3,8",5,80,0,0,0,20
1681,Shopping & mode,monsexshop.fr,"3,8",5,60,20,0,20,0
1682,Magasin de vêtements,Fantine,"3,8",5,80,0,0,0,20
1683,Shopping & mode,voguepromdresses.fr,"3,8",4,25,75,0,0,0
1684,Shopping & mode,Koalattitude,"3,8",4,50,25,25,0,0
1685,Bijouterie,Johmary,"3,8",4,50,50,0,0,0
1686,Marché en ligne,Les Création De Laurette,"3,8",4,75,0,0,25,0
1687,Bijouterie,Bijao,"3,8",4,75,0,0,25,0
1688,Magasin de vêtements,BBR Créations,"3,8",3,100,0,0,0,0
1689,Boutique de lingerie,Missdentelle,"3,8",3,67,33,0,0,0
1690,Magasin de vêtements,Wexead,"3,8",3,67,33,0,0,0
1691,Shopping & mode,Boutique Velo,"3,8",3,33,33,0,0,34
1692,Magasin de manteaux de fourrure,Courrage 004,"3,8",3,100,0,0,0,0
1693,Boutique de t-shirts personnalisés,Je Suis Trop Génial(e),"3,8",3,67,33,0,0,0
1694,Bijouterie,La Bourse Aux Bijoux,"3,8",3,67,33,0,0,0
1695,Magasin de lunettes de soleil,Matthew Sunglasses,"3,8",3,100,0,0,0,0
1696,Boutique d'accessoires de mode,Onmywrist,"3,8",3,100,0,0,0,0
1697,Boutique d'accessoires de mode,Kate&You,"3,8",3,33,67,0,0,0
1698,Magasin discount,Weed Side Story,"3,8",3,67,33,0,0,0
1699,Bijouterie,Antipodes,"3,8",3,67,0,0,33,0
1700,Service de coupons d'achat,ShoppingSpout France,"3,8",3,67,33,0,0,0
1701,Bijouterie,Madyshop,"3,8",3,67,33,0,0,0
1702,Boutique d'accessoires de mode,Julie & Joy,"3,8",3,67,33,0,0,0
1703,Magasin de chaussures,Eurl Agnapel,"3,8",2,100,0,0,0,0
1704,Magasin de produits de beauté,Mygreenbeauty,"3,8",2,100,0,0,0,0
1705,Magasin de vêtements,Common Paris,"3,8",2,100,0,0,0,0
1706,Magasin de sous-vêtements,Ana lingerie filles,"3,8",2,100,0,0,0,0
1707,Shopping & mode,Naturshop.fr,"3,8",2,100,0,0,0,0
1708,Magasin de vêtements imprimés,La Boutique du T-shirt,"3,8",2,50,50,0,0,0
1709,Investissements immobiliers,Lenchere,"3,8",2,100,0,0,0,0
1710,Magasin de vêtements,Le Grand Escalier®,"3,8",2,100,0,0,0,0
1711,Shopping & mode,East Nancy,"3,8",2,100,0,0,0,0
1712,Shopping & mode,Grain de sel,"3,8",2,100,0,0,0,0
1713,Service de rachat de bijoux,SC GOLD,"3,8",2,100,0,0,0,0
1714,Magasin de chaussures,Patinoshoes,"3,8",2,100,0,0,0,0
1715,Magasin de vêtements,Mangapixel,"3,8",2,100,0,0,0,0
1716,Magasin de vêtements,Mangalys,"3,8",2,100,0,0,0,0
1717,Magasin d'articles saisonniers,Ktalog,"3,8",2,100,0,0,0,0
1718,Magasin de vêtements,Lofi Girl Shop,"3,8",2,100,0,0,0,0
1719,Shopping & mode,FORREST and BOB,"3,8",2,100,0,0,0,0
1720,Magasin de produits de beauté,Mygreenbeauty,"3,8",2,100,0,0,0,0
1721,Magasin de vêtements imprimés,La Boutique du T-shirt,"3,8",2,50,50,0,0,0
1722,Magasin de streetwear,Le Vestiaire Shop,"3,8",2,100,0,0,0,0
1723,Magasin de sacs et de valises,Smart Travelers,"3,8",2,100,0,0,0,0
1724,Grand magasin,Cadeau du Geek,"3,8",2,100,0,0,0,0
1725,Magasin de streetwear,Deepman,"3,8",2,100,0,0,0,0
1726,Magasin de vêtements pour femmes,Javannah,"3,8",2,100,0,0,0,0
1727,Boutique de robes,Zeinamoda,"3,8",2,100,0,0,0,0
1728,Magasin de chaussures,Patinoshoes,"3,8",2,100,0,0,0,0
1729,Magasin de vêtements,Mangapixel,"3,8",2,100,0,0,0,0
1730,Shopping & mode,Aesthetics Fury,"3,8",2,100,0,0,0,0
1731,Shopping & mode,Sacdeluxe,"3,8",2,100,0,0,0,0
1732,Shopping & mode,Blue Melon,"3,8",2,100,0,0,0,0
1733,Bijouterie,Splendeurs,"3,8",2,100,0,0,0,0
1734,Bijouterie,Camille & Louise ®,"3,8",2,100,0,0,0,0
1735,Service de réparation de montres et d'horloges,☼ Vénus Diffusion ☼,"3,8",2,100,0,0,0,0
1736,Magasin de vêtements,Mangalys,"3,8",2,100,0,0,0,0
1737,Boutique de lingerie,Popxlup,"3,8",2,100,0,0,0,0
1738,Magasin de vêtements imprimés,Spadshopart,"3,8",2,100,0,0,0,0
1739,Magasin de vêtements pour femmes,Zeusetcompagnie,"3,8",2,100,0,0,0,0
1740,Magasin de vêtements,Mangapixel,"3,8",2,100,0,0,0,0
1741,Magasin de vêtements,Mangalys,"3,8",2,100,0,0,0,0
1742,Magasin d'articles saisonniers,Ktalog,"3,8",2,100,0,0,0,0
1743,Magasin de vêtements,Fabulior,"3,8",2,100,0,0,0,0
1744,Site de comparaison de prix,Dealikos L'achat malin !,"3,8",2,100,0,0,0,0
1745,Site de comparaison de prix,sneakerpricer.com,"3,8",2,100,0,0,0,0
1746,Magasin de chaussures,Dayinlife,"3,8",2,100,0,0,0,0
1747,Magasin de streetwear,Etnicz.com,"3,8",2,100,0,0,0,0
1748,Shopping & mode,FORREST and BOB,"3,8",2,100,0,0,0,0
1749,Grand magasin,Cadeau du Geek,"3,8",2,100,0,0,0,0
1750,Boutique de robes,Zeinamoda,"3,8",2,100,0,0,0,0
1751,Shopping & mode,Sacdeluxe,"3,8",2,100,0,0,0,0
1752,Boutique de lingerie,Popxlup,"3,8",2,100,0,0,0,0
1753,Magasin de streetwear,Deepman,"3,8",2,100,0,0,0,0
1754,Magasin de vêtements pour femmes,Javannah,"3,8",2,100,0,0,0,0
1755,Service de réparation de montres et d'horloges,☼ Vénus Diffusion ☼,"3,8",2,100,0,0,0,0
1756,Magasin de chaussures,Patinoshoes,"3,8",2,100,0,0,0,0
1757,Magasin de puériculture,NATURIOU,"3,8",2,100,0,0,0,0
1758,Magasin de sous-vêtements,RED'Y Underwear,"3,8",2,100,0,0,0,0
1759,Magasin de vêtements,Urbana Shop,"3,8",2,100,0,0,0,0
1760,Bijouterie,Camille & Louise ®,"3,8",2,100,0,0,0,0
1761,Friperie,Reachvintage,"3,8",2,100,0,0,0,0
1762,Bijouterie,Eva Bijouterie,"3,8",2,100,0,0,0,0
1763,Magasin de vêtements imprimés,Spadshopart,"3,8",2,100,0,0,0,0
1764,Magasin de sous-vêtements,RED'Y Underwear,"3,8",2,100,0,0,0,0
1765,Magasin de vêtements,Urbana Shop,"3,8",2,100,0,0,0,0
1766,Friperie,Reachvintage,"3,8",2,100,0,0,0,0
1767,Bijouterie,Mariek Bijoux,"3,8",2,100,0,0,0,0
1768,Magasin de puériculture,NATURIOU,"3,8",2,100,0,0,0,0
1769,Bijouterie,La Merveille,"3,8",2,100,0,0,0,0
1770,Magasin d'articles promotionnels,ViviPop's,"3,8",2,100,0,0,0,0
1771,Magasin d'articles saisonniers,Ktalog,"3,8",2,100,0,0,0,0
1772,Magasin de vêtements,Fabulior,"3,8",2,100,0,0,0,0
1773,Service de rachat de bijoux,SC GOLD,"3,8",2,100,0,0,0,0
1774,Magasin de vêtements pour femmes,Grigna,"3,8",2,100,0,0,0,0
1775,Magasin de vêtements,Lofi Girl Shop,"3,8",2,100,0,0,0,0
1776,Marché en ligne,Allicoop,"3,8",2,100,0,0,0,0
1777,Magasin de vêtements pour femmes,Les Bonnes Femmes,"3,8",2,100,0,0,0,0
1778,Boutique d'articles de mode,Baciami,"3,8",2,100,0,0,0,0
1779,Marché en ligne,Coolineo,"3,8",2,100,0,0,0,0
1780,Site de comparaison de prix,Dealikos L'achat malin !,"3,8",2,100,0,0,0,0
1781,Site de comparaison de prix,sneakerpricer.com,"3,8",2,100,0,0,0,0
1782,Magasin de vêtements pour femmes,Zeusetcompagnie,"3,8",2,100,0,0,0,0
1783,Boutique de cadeaux,luxxley.com,"3,8",2,100,0,0,0,0
1784,Marché en ligne,Allicoop,"3,8",2,100,0,0,0,0
1785,Boutique d'articles de mode,Baciami,"3,8",2,100,0,0,0,0
1786,Magasin de vêtements pour femmes,Javannah,"3,8",2,100,0,0,0,0
1787,Horlogerie,AM TIME Paris,"3,8",2,100,0,0,0,0
1788,Fabricant de bijoux,Pierres d'azul,"3,8",2,100,0,0,0,0
1789,Boutique d'accessoires de mode,DuckyDucky,"3,8",2,100,0,0,0,0
1790,Fabricant de montres,Neucarl Watches,"3,8",2,100,0,0,0,0
1791,Site de comparaison de prix,Balio,"3,8",2,100,0,0,0,0
1792,Magasin de vêtements,Razo,"3,8",2,100,0,0,0,0
1793,Joaillier,Mariusse & Bonnet,"3,8",2,100,0,0,0,0
1794,Magasin de vêtements,boutiquelecomptoir.fr,"3,8",2,100,0,0,0,0
1795,Friperie,Maxime Deniau,"3,8",2,100,0,0,0,0
1796,Site de comparaison de prix,HelloSafe Brasil,"3,8",2,100,0,0,0,0
1797,Magasin de vêtements,Tongashop,"3,8",2,100,0,0,0,0
1798,Horlogerie,Christian Jacques Montre,"3,8",2,100,0,0,0,0
1799,Shopping & mode,La Marque Zone,"3,8",2,100,0,0,0,0
1800,Boutique d'accessoires de mode,Sulfur Creations,"3,8",2,100,0,0,0,0
1801,Magasin de vêtements pour bébés,Calibaby,"3,8",2,100,0,0,0,0
1802,Magasin de maillots de bain,Mouiller le Maillot,"3,8",2,100,0,0,0,0
1803,Boutique de lingerie,Lövane,"3,8",2,100,0,0,0,0
1804,Agence e-commerce,Bertschat,"3,8",2,100,0,0,0,0
1805,Boutique d'emballages cadeaux,Pochon aux Pommes,"3,8",2,100,0,0,0,0
1806,Magasin de vêtements,Econe,"3,8",2,100,0,0,0,0
1807,Boutique d'articles de mode,Studio Coin,"3,8",2,100,0,0,0,0
1808,Magasin de vêtements,Kayobi,"3,8",2,50,50,0,0,0
1809,Marché en ligne,Une Belle Journee,"3,8",2,100,0,0,0,0
1810,Boutique d'accessoires de mode,Inspiration liège,"3,8",2,100,0,0,0,0
1811,Shopping & mode,Pallas cuir,"3,8",2,100,0,0,0,0
1812,Boutique d'accessoires de mode,Moment Ici,"3,8",2,100,0,0,0,0
1813,Magasin de vêtements,Galloxy Store,"3,8",2,100,0,0,0,0
1814,Magasin de vêtements,Lune,"3,8",2,100,0,0,0,0
1815,Magasin de matériel d'équitation,Pony Power,"3,8",2,100,0,0,0,0
1816,Magasin de vêtements,Chaloope,"3,8",2,100,0,0,0,0
1817,Fabricant de bijoux,Lovelymilk,"3,8",2,100,0,0,0,0
1818,Bijouterie fantaisie,BornéArt,"3,8",2,100,0,0,0,0
1819,Shopping & mode,reder - l'homme moderne,"3,7",188,45,14,4,3,34
1820,Magasin de chaussures,Basalt,"3,7",108,58,5,<1,5,31
1821,Magasin,Ugoshi,"3,7",105,52,18,0,<1,29
1822,Magasin de sous-vêtements,DISWIM,"3,7",99,55,20,8,2,15
1823,Shopping & mode,SPORTDEPOT,"3,7",93,53,12,6,14,15
1824,Bijouterie,Jewelry Bling Aix,"3,7",91,79,7,0,0,14
1825,Magasin de vêtements grandes tailles,Ulla Popken France,"3,7",80,60,9,10,4,17
1826,Horlogerie,MGH,"3,7",69,49,25,3,7,16
1827,Magasin de sacs,Bagaran,"3,7",60,61,10,0,7,22
1828,Bijouterie fantaisie,Odin's Hall,"3,7",56,61,4,5,5,25
1829,Bijouterie,Obsidian Piercing,"3,7",52,86,10,0,0,4
1830,Fournisseur de textile,Needen France,"3,7",31,77,10,0,3,10
1831,Boutique d'accessoires de mode,Cartz,"3,7",22,63,5,9,5,18
1832,Boutique d'accessoires de mode,Spider Shop,"3,7",22,54,14,9,5,18
1833,Magasin de puériculture,Natalys,"3,7",17,35,0,0,0,65
1834,Magasin de vêtements,Lestoquesmodeles.com,"3,7",17,64,12,0,6,18
1835,Shopping & mode,Vigicoin,"3,7",16,44,19,6,19,12
1836,Épicerie fine,Le Comptoir Irlandais,"3,7",13,69,0,15,0,16
1837,Magasin de streetwear,101phase.com,"3,7",12,75,8,0,0,17
1838,Magasin de chaussures,Pierre Qui Roule,"3,7",11,18,9,0,18,55
1839,Graveur sur bijoux,fr.bijouxenvogue.com,"3,7",9,78,0,0,11,11
1840,Magasin de lunettes de soleil,ENAÏM,"3,7",9,89,0,0,0,11
1841,Magasin de sacs et de valises,Gandy,"3,7",7,14,14,29,0,43
1842,Boutique d'accessoires de mode,Stockfamily,"3,7",6,50,16,17,17,0
1843,Magasin de vêtements pour femmes,MIM,"3,7",6,17,33,0,33,17
1844,Tailleur pour hommes,Les Nouveaux Ateliers,0,0,0,0,0,0,0
1845,Magasin de jouets,Espacekids,"3,7",5,60,20,0,0,20
1846,Shopping & mode,Mister Tee,"3,7",5,60,0,0,20,20
1847,Boutique d'accessoires de mode,Klaoos,"3,7",5,60,20,0,0,20
1848,Shopping & mode,Merrell,"3,7",5,60,20,0,0,20
1849,Grand magasin,Ma peluche Panda,"3,7",3,67,33,0,0,0
1850,Magasin d'accessoires pour téléphones mobiles,Rcozzal,"3,7",3,67,0,33,0,0
1851,Boutique d'articles de mode,Melyana.fr,"3,7",3,67,0,0,33,0
1852,Shopping & mode,The Wonderful Socks,"3,7",2,50,50,0,0,0
1853,Magasin de fleurs séchées,Dryandmyrtille,"3,7",2,50,50,0,0,0
1854,Magasin de perruques,coquetwigs.fr,"3,7",2,50,50,0,0,0
1855,Marché de textile,Stacy et Manelle,"3,7",2,100,0,0,0,0
1856,Shopping & mode,Coin des Bébés,"3,7",2,50,0,50,0,0
1857,Shopping & mode,Legging Sport,"3,7",2,50,50,0,0,0
1858,Boutique de t-shirts personnalisés,Thorben Shop,"3,7",2,50,50,0,0,0
1859,Marché en ligne,Arabezon,"3,7",2,50,50,0,0,0
1860,Shopping & mode,Legging Sport,"3,7",2,50,50,0,0,0
1861,Magasin de fleurs séchées,Dryandmyrtille,"3,7",2,50,50,0,0,0
1862,Fabricant de montres,H-TECH®,"3,7",2,50,50,0,0,0
1863,Shopping & mode,arthca,"3,7",2,50,0,0,0,50
1864,Boutique d'accessoires de mode,Cprachic,"3,7",2,50,50,0,0,0
1865,Boutique de lingerie,Monplaisirprive,"3,7",2,100,0,0,0,0
1866,Magasin de vêtements pour femmes,BOOTICCA,"3,7",2,50,0,0,0,50
1867,Bijouterie,Or & façon,"3,7",1,100,0,0,0,0
1868,Artisanat,Thichoushop,"3,7",1,100,0,0,0,0
1869,Shopping & mode,Piaget,"3,7",1,100,0,0,0,0
1870,Shopping & mode,Corolle,"3,7",1,100,0,0,0,0
1871,Bijouterie,Fait D'acier,"3,7",1,100,0,0,0,0
1872,Shopping & mode,Tranchée Militaire,"3,7",1,100,0,0,0,0
1873,Magasin de sous-vêtements,Bodyandco.com,"3,7",1,100,0,0,0,0
1874,Magasin de puériculture,Bebecologique,"3,7",1,100,0,0,0,0
1875,Bijouterie,I BEADS,"3,7",1,100,0,0,0,0
1876,Shopping & mode,Gokiburi,"3,7",1,100,0,0,0,0
1877,Magasin de vêtements pour bébés,"Marabout, bout d'ficelle","3,7",1,100,0,0,0,0
1878,Boutique d'accessoires de mode,Soifeo,"3,7",1,100,0,0,0,0
1879,Magasin de lunettes de soleil,Tropicsun,"3,7",1,100,0,0,0,0
1880,Shopping & mode,G-Silver,"3,7",1,100,0,0,0,0
1881,Boutique de lingerie,Les Dessous de Vénus,"3,7",1,100,0,0,0,0
1882,Shopping & mode,Styleco,"3,7",1,100,0,0,0,0
1883,Shopping & mode,Fun Geek,"3,7",1,100,0,0,0,0
1884,Tailleur sur mesure,atelierioux.com,"3,7",1,100,0,0,0,0
1885,Magasin de vêtements grandes tailles,Cent Silhouettes,"3,7",1,100,0,0,0,0
1886,Shopping & mode,Hbr11,"3,7",1,100,0,0,0,0
1887,Shopping & mode,Ma Jolie Boite,"3,7",1,100,0,0,0,0
1888,Magasin de chaussures,Jordan Retro,"3,7",1,100,0,0,0,0
1889,Shopping & mode,robaspeciale,"3,7",1,100,0,0,0,0
1890,Shopping & mode,Arod,"3,7",1,100,0,0,0,0
1891,Boutique d'accessoires de mode,Soifeo,"3,7",1,100,0,0,0,0
1892,Magasin de vêtements pour hommes,ikao.fr,"3,7",1,100,0,0,0,0
1893,Magasin entrepôt,valiorient.com,"3,7",1,100,0,0,0,0
1894,Shopping & mode,Sanscomplexe,"3,7",1,100,0,0,0,0
1895,Service de remise en espèces,BackBackBack,"3,7",1,100,0,0,0,0
1896,Bijouterie fantaisie,Atelier Arcdiris,"3,7",1,100,0,0,0,0
1897,Bijouterie,Espritjoli,"3,7",1,100,0,0,0,0
1898,Service de retouche de vêtements,Cousu Green,"3,7",1,100,0,0,0,0
1899,Parfumerie,theshopofficiel.fr,"3,7",1,100,0,0,0,0
1900,Shopping & mode,Hbr11,"3,7",1,100,0,0,0,0
1901,Boutique de lingerie,Les Dessous de Vénus,"3,7",1,100,0,0,0,0
1902,Shopping & mode,Styleco,"3,7",1,100,0,0,0,0
1903,Shopping & mode,Corolle,"3,7",1,100,0,0,0,0
1904,Grand magasin,Geekerz,"3,7",1,100,0,0,0,0
1905,Shopping & mode,Palladium,"3,7",1,100,0,0,0,0
1906,Shopping & mode,Bureau Tonic,"3,7",1,100,0,0,0,0
1907,Bijouterie,Gembid,"3,7",1,100,0,0,0,0
1908,Magasin de vêtements,Shoppingbyk,"3,7",1,100,0,0,0,0
1909,Magasin de vêtements pour femmes,lesfashiongirls.com,"3,7",1,100,0,0,0,0
1910,Bijouterie,Ceylea,"3,7",1,100,0,0,0,0
1911,Shopping & mode,Chanti,"3,7",1,100,0,0,0,0
1912,Shopping & mode,Watchesworld,"3,7",1,100,0,0,0,0
1913,Bijouterie,Adory Bijoux,"3,7",1,100,0,0,0,0
1914,Shopping & mode,Ze Mag,"3,7",1,100,0,0,0,0
1915,Service de coupons d'achat,Magipass,"3,7",1,100,0,0,0,0
1916,Shopping & mode,Brand Bazar,"3,7",1,100,0,0,0,0
1917,Magasin de vêtements pour femmes,Asowl Paris,"3,7",1,100,0,0,0,0
1918,Magasin de vêtements pour femmes,Saroueldream,"3,7",1,100,0,0,0,0
1919,Shopping & mode,Arno Cost Photographe,"3,7",1,100,0,0,0,0
1920,Boutique d'accessoires de mode,Myshopify,"3,7",1,100,0,0,0,0
1921,Shopping & mode,Bottin,"3,7",1,100,0,0,0,0
1922,Magasin de vêtements de sport (activewear),Dealeuses,"3,7",1,100,0,0,0,0
1923,Shopping & mode,Rock Ange'Hell,"3,7",1,100,0,0,0,0
1924,Magasin de sous-vêtements,Bodyandco.com,"3,7",1,100,0,0,0,0
1925,Shopping & mode,Taatoo,"3,7",1,100,0,0,0,0
1926,Shopping & mode,Recital Lingerie,"3,7",1,100,0,0,0,0
1927,Shopping & mode,Frog Publicité,"3,7",1,100,0,0,0,0
1928,Bijouterie,Camen Paris,"3,7",1,100,0,0,0,0
1929,Shopping & mode,Maroquinerie Le Tilbury,"3,7",1,100,0,0,0,0
1930,Shopping & mode,Customlegend,"3,7",1,100,0,0,0,0
1931,Shopping & mode,Arno Cost Photographe,"3,7",1,100,0,0,0,0
1932,Magasin de vêtements,Shoppingbyk,"3,7",1,100,0,0,0,0
1933,Magasin de vêtements pour hommes,Team VESTORO,"3,7",1,100,0,0,0,0
1934,Shopping & mode,mafashion robes,"3,7",1,100,0,0,0,0
1935,Boutique de cadeaux,Cadeaumalin,"3,7",1,100,0,0,0,0
1936,Horlogerie,Ikonik Watches,"3,7",1,100,0,0,0,0
1937,Shopping & mode,Sabine Marq Antoine,"3,7",1,100,0,0,0,0
1938,Magasin de vêtements,À l'Ombre des Marques,"3,7",1,100,0,0,0,0
1939,Magasin de lunettes de soleil,Dripmood,"3,7",1,100,0,0,0,0
1940,Shopping & mode,T A-o,"3,7",1,100,0,0,0,0
1941,Shopping & mode,Backsapes,"3,7",1,100,0,0,0,0
1942,Société de flocage,Papier Transfert,"3,7",1,100,0,0,0,0
1943,Site de comparaison de prix,Mr Scandinave,"3,7",1,100,0,0,0,0
1944,Magasin de vêtements de sport,LeRondCentral.fr,"3,7",1,100,0,0,0,0
1945,Shopping & mode,Jakeharry,"3,7",1,100,0,0,0,0
1946,Shopping & mode,Boylos,"3,7",1,100,0,0,0,0
1947,Fabricant de bijoux,Lolimashopping,"3,7",1,100,0,0,0,0
1948,Shopping & mode,Egizielettrostore,"3,7",1,100,0,0,0,0
1949,Shopping & mode,Adg Studio,"3,7",1,100,0,0,0,0
1950,Magasin de vêtements pour femmes,Soniajparis,"3,7",1,100,0,0,0,0
1951,Bijouterie,Bijoux Ambre,"3,7",1,100,0,0,0,0
1952,Magasin de teinture,Hollydye,"3,7",1,100,0,0,0,0
1953,Boutique d'accessoires de mode,Beautyfulllab,"3,7",1,100,0,0,0,0
1954,Shopping & mode,La Boutique de Kroll,"3,7",1,100,0,0,0,0
1955,Shopping & mode,Edmond Watches,"3,7",1,100,0,0,0,0
1956,Boutique d'accessoires de mode,casyx.com,"3,7",1,100,0,0,0,0
1957,Boutique de t-shirts personnalisés,Mon Fair Design,"3,7",1,100,0,0,0,0
1958,Association culturelle,Bergersdespierres Moselle,"3,7",1,100,0,0,0,0
1959,Magasin de vêtements,WARLDOR,"3,7",1,100,0,0,0,0
1960,Site de comparaison de prix,Mr Scandinave,"3,7",1,100,0,0,0,0
1961,Boutique d'accessoires de mode,Le Bracelet Nato,"3,7",1,100,0,0,0,0
1962,Shopping & mode,Adg Studio,"3,7",1,100,0,0,0,0
1963,Shopping & mode,Brautkleidkaufen,"3,7",1,100,0,0,0,0
1964,Magasin de vêtements pour femmes,lesfashiongirls.com,"3,7",1,100,0,0,0,0
1965,Bijouterie,Ceylea,"3,7",1,100,0,0,0,0
1966,Service de coupons d'achat,Magipass,"3,7",1,100,0,0,0,0
1967,Shopping & mode,Egizielettrostore,"3,7",1,100,0,0,0,0
1968,Shopping & mode,Bally,"3,7",1,100,0,0,0,0
1969,Exportateur de bijoux,Deathforlove,"3,7",1,100,0,0,0,0
1970,Site de comparaison de prix,Mr Scandinave,"3,7",1,100,0,0,0,0
1971,Shopping & mode,Adg Studio,"3,7",1,100,0,0,0,0
1972,Bijouterie,Bijoux Ambre,"3,7",1,100,0,0,0,0
1973,Magasin de teinture,Hollydye,"3,7",1,100,0,0,0,0
1974,Magasin de puériculture,Ilobebe,"3,7",1,100,0,0,0,0
1975,Shopping & mode,Boylos,"3,7",1,100,0,0,0,0
1976,Magasin de sous-vêtements,Nuancedentelles,"3,7",1,100,0,0,0,0
1977,Magasin de puériculture,Superjour,"3,7",1,100,0,0,0,0
1978,Magasin de vêtements,OzOne,"3,7",1,100,0,0,0,0
1979,Shopping & mode,Chanti,"3,7",1,100,0,0,0,0
1980,Boutique de sacs à main,Babyjumpy,"3,7",1,100,0,0,0,0
1981,Magasin d'articles d'occasion,Mymerch Luxury Recycle,"3,7",1,100,0,0,0,0
1982,Boutique de t-shirts personnalisés,Mon Fair Design,"3,7",1,100,0,0,0,0
1983,Shopping & mode,T A-o,"3,7",1,100,0,0,0,0
1984,Boutique de lingerie,Les Dessous de Vénus,"3,7",1,100,0,0,0,0
1985,Shopping & mode,Styleco,"3,7",1,100,0,0,0,0
1986,Boutique d'accessoires de mode,ATELIARPARIS,"3,7",1,100,0,0,0,0
1987,Shopping & mode,Frog Publicité,"3,7",1,100,0,0,0,0
1988,Service de coupons d'achat,BOOST ARGENT,"3,7",1,100,0,0,0,0
1989,Shopping & mode,Fun Geek,"3,7",1,100,0,0,0,0
1990,Tailleur sur mesure,atelierioux.com,"3,7",1,100,0,0,0,0
1991,Magasin de vêtements,SHADES,"3,7",1,100,0,0,0,0
1992,Shopping & mode,Bottin,"3,7",1,100,0,0,0,0
1993,Marché en ligne,Admin MCG,"3,7",1,100,0,0,0,0
1994,Magasin de t-shirts,TeeSmayle,"3,7",1,100,0,0,0,0
